irish,english
Ní neart go cur le chéile,There is no strength without unity
Tús maith leath na hoibre,A good start is half the work
Giorraíonn beirt bóthar,Two shorten the road
Níor bhris focal maith fiacail riamh,A good word never broke a tooth
Is fearr an tsláinte ná na táinte,Health is better than wealth
Mol an óige agus tiocfaidh sí,Praise the young and they will flourish
An té nach bhfuil láidir ní foláir dó bheith glic,He who is not strong must be clever
Ar scáth a chéile a mhaireann na daoine,People live in each other's shelter
Is minic a bhris béal duine a shrón,Many a time a man's mouth broke his nose
Níl aon tinteán mar do thinteán féin,There's no place like home
Is fearr Gaeilge briste ná Béarla cliste,Broken Irish is better than clever English
Ní hé lá na gaoithe lá na scolb,The windy day is not the day for thatching
Is maith an scéalaí an aimsir,Time is a great storyteller
An rud is annamh is iontach,What is rare is wonderful
Ní bhíonn saoi gan locht,There is no wise person without fault
Is fearr cara sa chúirt ná punt sa sparán,A friend in court is better than money
Bíonn siúlach scéalach,A traveller has stories
Is minic a bhíonn an ceart ag an té ciúin,The quiet person is often right
Ní bhíonn an rath ach mar a mbíonn an smacht,No prosperity without discipline
Is fada an bóthar nach mbíonn casadh ann,Every road has a turn
Ní bhíonn clú gan chúis,There is no fame without reason
An té nach gcuireann san earrach ní bhaineann sé san fhómhar,"No sowing, no harvest"
Is fearr súil romhainn ná dhá shúil inár ndiaidh,One eye ahead is better
Ní bhíonn aon rún nach scaoiltear,No secret stays hidden
Is minic a dhéanann bród duine bocht,Pride often makes a person poor
Ní hé an lá báistí lá na bpáistí,A rainy day is not a day for children
An té a luíonn le madaí éireoidh sé le dreancaidí,"Lie with dogs, get fleas"
Is fearr mall ná go deo,Better late than never
Is minic a bhíonn an fhírinne searbh,The truth is often bitter
Ní bhíonn aon tinteán mar do thinteán féin,No hearth like your own
Is maith an t-anlann an t-ocras,Hunger is a good sauce
Ní bhíonn an rath ach mar a mbíonn an obair,No success without work
An té a bhíonn siúlach bíonn scéalach,He who travels has stories
Is fearr greim bia ná dhá ghearrchaint,Better a bite to eat than two chats
Ní bhíonn aon phian mar do phian féin,No pain like your own
Is minic a bhíonn an t-ádh ar an amadán,Luck often favors the fool
An té nach bhfuil ciall aige caithfidh sé fulaingt,He who lacks sense suffers
Ní thagann ciall roimh aois,Wisdom does not come before age
Is fearr an tslí bheag ná an tslí mhór uaireanta,Sometimes the small way is better
Is minic a bhíonn bréag ina fírinne,A lie can seem like truth
Ní bhíonn aon rud buan ach an t-athrú,Nothing is permanent but change
Is fearr cairde ná ór,Friends are better than gold
Is minic a thagann an t-ádh gan iarraidh,Luck often comes unasked
Ní bhíonn sa saol ach ceo,Life is but a mist
Is maith an scáthán súil charad,A friend's eye is a good mirror
Ní bhíonn grá gan locht,There is no love without fault
Is fearr an tsláinte ná na táinte,Health is better than riches
Is minic a dhíolann duine a anam ar airgead,People sell their soul for money
Ní bhíonn aon rud chomh dona nach bhfuil rud éigin maith ann,Nothing so bad without some good
Is fearr aithne ná tuairim,Knowledge is better than opinion
Ní bhíonn aon ghaoth nach séideann go maith do dhuine éigin,Every wind blows good for someone
Is minic a bhíonn an ceart ag an duine beag,The small person is often right
Ní bhíonn aon rud chomh simplí agus a shíltear,Nothing is as simple as it seems
Is fearr obair ná caint,Work is better than talk
Ní bhíonn aon lá gan scéal,No day without a story
Is minic a thagann ciall tar éis na heachtra,Wisdom comes after the event
Ní bhíonn aon duine gan locht,No one is without fault
Is fearr fírinne searbh ná bréag milis,Better a bitter truth than a sweet lie
Ní bhíonn aon rud saor ach an bás,Nothing is free but death
